Branch,Component,Quantity,Rail,Operating_Power_W,Short_Peak_Power_W,Operating_12V_Equivalent_A,Short_Peak_12V_Equivalent_A,Calculation_or_Treatment
Jetson DC5525,Jetson Orin Nano Super Developer Kit,1,12 V input,15.00,25.00,1.25,2.08,15 W operating value; 25 W upper power-mode bound
Jetson DC5525,Intel RealSense D435f,1,5 V,2.20,3.50,0.18,0.29,0.44 A expected operating value and 0.70 A datasheet maximum
Jetson DC5525,TM171 IMU,1,5 V,0.40,0.40,0.03,0.03,0.08 A at 5 V
Jetson DC5525,LDROBOT STL-27L front LiDAR,1,5 V,1.45,2.70,0.12,0.23,0.29 A operating and 0.54 A startup
Jetson DC5525,LDROBOT STL-27L rear LiDAR,1,5 V,1.45,2.70,0.12,0.23,0.29 A operating and 0.54 A startup
Jetson DC5525,CP2102 TTL-to-USB adapter,1,Jetson USB 5 V,,,,,Rear LiDAR USB adapter
Jetson DC5525,Jetson-side subtotal,,12 V equivalent,20.50,34.30,1.71,2.86,Operating: 15 + 2.2 + 0.4 + 1.45 + 1.45; peak uses 25 W Jetson upper bound plus 3.5 W D435f and two 2.70 W LiDAR startups
ESP32 DC5521,ESP32-S3 and driver-board base load,1,board 3.3 V / 5 V,0.60,0.60,0.05,0.05,Controller base power; OLED and ES8311 control electronics included here
ESP32 DC5521,W5500 Ethernet controller,1,3.3 V,0.42,0.44,0.04,0.04,128 mA operating and 132 mA peak at 3.3 V
ESP32 DC5521,SC-1258TG+ steering servo,1,5 V,0.60,30.00,0.05,2.50,120 mA rated and 5 A at upper 6 V rating for brief peak
ESP32 DC5521,GA25-370 rear drive motor and Hall encoder,1,12 V,5.00,5.00,0.42,0.42,Drive load
ESP32 DC5521,0.96 in OLED,1,3.3 V,,,,,Included in ESP32 driver-board base allowance
ESP32 DC5521,ES8311 audio codec,1,board low-voltage rail,,,,,Included in ESP32 driver-board base allowance
ESP32 DC5521,NS4150B amplifier and speaker,1,5 V,,,,,Startup audio is negligible
ESP32 DC5521,ESP32-side subtotal,,12 V equivalent,6.62,36.04,0.55,3.00,Operating: 0.60 + 0.42 + 0.60 + 5.0; peak: 0.60 + 0.44 + 30.0 + 5.0
Main battery,Whole-vehicle component sum,,12 V,27.12,70.34,2.26,5.86,Operating sum and short-peak sum before margin
Main battery,Whole-vehicle wire-sizing budget,,12 V,,,2.26,7.62,Operating component sum; 5.86 A short peak times 1.30 margin
Battery comparison,Final WHEELTEC battery,1,12 V / 4.5 Ah,,,,,Nominal capacity: 4.5 Ah; nominal stored energy: 12 V times 4.5 Ah equals 54 Wh
Battery comparison,One-hour operating requirement,,12 V,,,,,Required energy: 27.12 Wh; required charge: 2.26 Ah; both are below nominal battery capacity
Battery comparison,Theoretical operating duration,,12 V,,,,,54 Wh divided by 27.12 W equals approximately 1.99 h before losses
Battery comparison,Short-peak load,,12 V,,,,,Short-peak current: 7.62 A; short-peak power: 91.44 W
