Item,Subsystem,Quantity,Unit_Mass_g,Total_Mass_g,Dimensions_mm,Measured_or_Estimated,Notes
SC-1258TG+ steering servo,Actuation,1,64,64,40.3 x 20.2 x 37.2,Specified,User-provided specification.
GA25-370 DC motor,Actuation,1,110,110,43 x 25 diameter,Specified,User-provided specification; 43 mm is 12 mm motor plus 31 mm gearbox length.
Intel RealSense D435f depth camera,Sensing,1,80,80,90 x 25 x 25,Specified,User-provided specification.
SYD Dynamics TM171 IMU,Sensing,1,19,19,40 x 36 x 12.6,Specified,User-provided specification.
LDROBOT STL-27L 2D LiDAR,Sensing,2,46.1,92.2,54 x 46.29 x 34.80,Specified,User-provided specification.
Jetson Orin Nano Super Developer Kit,Computing,1,176,176,103 x 90.5 x 34.77,Specified,User-provided specification.
Jetson-side 12 V battery,Power,1,184,184,88.6 x 61.6 x 24,Specified,Inventory entry; capacity intentionally not restated here because battery records require separate confirmation.
ESP32 development board,Control,1,35,35,68 x 61 x 15,Specified,User-provided specification.
0.96 in OLED,Human-machine interface,1,1.29,1.29,27 x 28.5 x 12.6,Specified,User-provided specification.
ESP32-side 12 V battery,Power,1,110,110,,Specified,Inventory entry; user-provided 1800 mAh record.
Listed component total,All listed subsystems,,,871.49,,Calculated,64 + 110 + 80 + 19 + (2 x 46.1) + 176 + 184 + 35 + 1.29 + 110. Speaker treated as negligible; W5500 CP2102 chassis wheels transmission wiring fasteners and printed parts not included.
